Fecha_Contratacion,Monto_Colocado,tech_cat,domestic_cat,credit_cat,online_cat,fin_help_cat,trump_dolar_rem,credito
2017-04-28,2541650.27,47,36,39,13,5,100,-4
2017-04-29,35844966.31,54,43,30,13,4,76,0
2017-04-30,3751555.2,55,41,24,14,3,71,0
2017-05-01,4120339.35,46,31,39,13,5,74,-2
2017-05-02,126151119.6,42,33,42,13,6,68,-4
2017-05-03,108572736.4,41,29,39,14,6,59,-2
2017-05-04,109177606.8,42,29,35,13,5,65,-4
2017-05-05,103767039.9,43,35,36,13,6,57,0
2017-05-06,10404241.26,52,34,31,14,4,51,-1
2017-05-07,8839660.18,55,49,21,14,4,45,-3
2017-05-08,134383972.8,54,37,24,15,4,46,0
2017-05-09,122552432.2,46,30,38,14,6,48,-6
2017-05-10,109437843.4,40,31,36,13,6,44,0
2017-05-11,106572523.5,38,29,34,14,6,43,-3
2017-05-12,116855292.2,43,26,38,13,4,41,0
2017-05-13,12910189.28,50,33,30,14,3,35,-1
2017-05-14,6482970.12,53,40,23,15,3,33,-4
2017-05-15,132186126.4,43,30,37,13,5,40,-5
2017-05-16,112122269.1,38,28,35,13,5,37,-3
2017-05-17,116921018.2,37,32,41,14,5,41,-3
2017-05-18,114632227.1,40,32,38,13,5,43,-3
2017-05-19,118579421.4,39,31,37,14,5,40,-2
2017-05-20,12513304.69,50,52,28,14,3,30,-1
2017-05-21,4584353.48,49,100,25,15,3,26,0
2017-05-22,146638523.2,42,30,37,16,6,33,0
2017-05-23,126786801.5,39,30,36,15,5,35,-7
2017-05-24,114683923.6,39,30,35,14,5,36,-4
2017-05-25,120988146,41,28,36,14,5,35,-5
2017-05-26,137164165.1,42,27,35,15,5,34,-2
2017-05-27,16177419.2,49,33,31,13,3,30,-2
2017-05-28,4060441.7,52,42,26,14,4,24,0
2017-05-29,152347136.9,42,34,39,14,5,37,-4
2017-05-30,133330810.6,42,27,43,15,5,35,0
2017-05-31,163944957.3,41,28,40,14,5,37,-4
2017-06-01,119903297.2,39,29,36,15,5,30,-5
2017-06-02,104400678.3,46,27,39,15,5,32,-7
2017-06-03,2631546,55,36,32,16,4,27,0
2017-06-04,23088228,57,45,24,14,4,22,-3
2017-06-05,170243312,48,28,38,15,6,30,0
2017-06-06,189679963,42,30,34,17,7,29,-8
2017-06-07,215124991.7,40,37,33,15,5,27,-6
2017-06-08,190026858.4,38,28,33,16,5,25,0
2017-06-09,185921862.2,42,28,38,14,5,27,-10
2017-06-10,22975187.62,50,30,30,15,3,22,-6
2017-06-11,17535271.56,56,34,23,16,3,20,0
2017-06-12,194925581,43,30,36,17,4,25,-2
2017-06-13,164675645.1,40,27,38,15,5,25,-4
2017-06-14,172428221.9,37,30,39,14,5,26,-5
2017-06-15,177300856.5,39,32,39,15,5,30,0
2017-06-16,174830874.3,42,27,41,14,4,31,-9
2017-06-17,17033771.1,47,40,30,14,3,29,-3
2017-06-18,6228825.62,55,55,24,14,2,23,0
2017-06-19,175021179.7,53,40,24,16,3,25,-8
2017-06-20,35335705.27,48,27,38,16,5,32,0
2017-06-21,273058226.6,42,29,38,14,6,29,0
2017-06-22,157676492.5,41,28,36,14,5,26,0
2017-06-23,165707494.7,42,26,38,13,5,30,-8
2017-06-24,18362340.9,49,36,28,15,3,27,-1
2017-06-25,7879545.65,54,38,18,14,3,24,-2
2017-06-26,184703871,42,36,36,15,5,30,-3
2017-06-27,151790026.8,38,37,38,14,5,28,-3
2017-06-28,172603810.2,40,28,38,14,5,26,-6
2017-06-29,177529508.4,42,27,40,15,5,28,-12
2017-06-30,207727016.4,43,25,48,15,5,29,-4
2017-07-01,17671017.85,49,33,36,13,5,23,-5
2017-07-02,3880715.16,50,38,23,14,3,20,0
2017-07-03,136142258.4,41,29,41,15,5,28,-5
2017-07-04,141455705.3,39,25,40,14,5,29,0
2017-07-05,138531979.5,39,29,41,15,6,26,-5
2017-07-06,12108886.03,41,27,38,14,6,27,-7
2017-07-07,261804557.9,41,28,44,15,4,38,-10
2017-07-08,31733893.56,52,41,34,17,4,27,0
2017-07-09,15223259.76,58,39,23,16,3,26,-1
2017-07-10,171357485.3,51,30,41,17,4,31,-8
2017-07-11,161317011.3,51,40,42,17,4,31,-6
2017-07-12,179748549.5,50,45,46,16,2,27,-9
2017-07-13,165920136.9,56,36,31,16,2,29,-9
2017-07-14,171740664.7,56,35,23,16,2,29,-2
2017-07-15,26478534.02,58,38,26,17,2,27,0
2017-07-16,8700618.6,56,40,24,17,2,23,-3
2017-07-17,190446855.2,52,33,44,18,5,30,-4
2017-07-18,165955046.9,48,43,39,18,5,28,-3
2017-07-19,185637543.5,44,46,39,16,3,28,0
2017-07-20,179669256.2,47,53,37,16,4,27,0
2017-07-21,180600702.9,45,30,37,16,4,26,-4
