Fecha_Contratacion,Monto_Colocado,tech_cat,domestic_cat,credit_cat,online_cat,fin_help_cat,trump_dolar_rem,calendario,nacimiento,Robaron,Asaltaron,Credito
28/04/2017,2541650.27,47,30,54,19,4,79,0,4583,1,0,8
29/04/2017,35844966.31,61,41,41,19,4,62,0,5925,0,0,4
30/04/2017,3751555.2,64,45,21,18,2,56,10000,6138,1,0,2
01/05/2017,4120339.35,67,37,19,21,3,67,0,5256,1,0,0
02/05/2017,126151119.6,51,41,37,20,5,77,0,5790,4,0,10
03/05/2017,108572736.4,45,37,34,19,5,67,0,6309,2,1,3
04/05/2017,109177606.8,45,30,32,19,5,63,0,5470,2,0,3
05/05/2017,103767039.9,57,34,37,19,4,66,0,4575,0,0,4
06/05/2017,10404241.26,61,48,28,19,3,50,0,5835,4,0,1
07/05/2017,8839660.18,58,90,20,19,3,46,0,6053,0,0,1
08/05/2017,134383972.8,49,35,33,20,6,65,0,6042,1,0,3
09/05/2017,122552432.2,49,36,30,20,5,64,0,5905,3,0,0
10/05/2017,109437843.4,50,40,28,18,4,58,10000,5563,8,0,3
11/05/2017,106572523.5,50,38,31,20,5,66,0,5276,2,0,0
12/05/2017,116855292.2,49,39,37,19,4,69,0,4708,1,0,5
13/05/2017,12910189.28,58,38,31,21,3,54,0,6034,1,0,0
14/05/2017,6482970.12,62,58,23,22,3,46,0,6089,0,0,0
15/05/2017,132186126.4,54,42,39,20,4,61,0,6131,2,0,2
16/05/2017,112122269.1,49,29,35,19,5,70,0,6044,0,0,0
17/05/2017,116921018.2,44,32,37,18,5,69,0,6207,2,0,7
18/05/2017,114632227.1,44,28,35,19,5,74,0,5533,1,0,0
19/05/2017,118579421.4,45,33,37,19,5,63,0,4706,1,0,3
20/05/2017,12513304.69,55,34,26,21,3,55,0,6013,5,0,0
21/05/2017,4584353.48,57,64,21,20,3,60,0,6165,1,0,0
22/05/2017,146638523.2,42,47,38,21,5,70,0,6151,2,0,0
23/05/2017,126786801.5,44,30,32,21,4,73,10000,5973,3,0,4
24/05/2017,114683923.6,44,35,29,22,5,75,0,6080,5,0,5
25/05/2017,120988146,45,37,29,23,5,100,0,5440,2,0,5
26/05/2017,137164165.1,51,57,37,23,4,96,0,4538,4,0,3
27/05/2017,16177419.2,56,44,25,29,3,74,0,5786,1,0,3
28/05/2017,4060441.7,59,100,14,28,3,65,0,5984,1,0,0
29/05/2017,152347136.9,50,51,36,45,5,65,10000,5913,1,0,2
30/05/2017,133330810.6,49,32,36,37,5,66,10000,5959,5,0,4
31/05/2017,163944957.3,49,33,40,36,5,77,10000,5940,2,0,0
01/06/2017,119903297.2,52,31,33,35,6,82,10000,5495,1,0,0
02/06/2017,104400678.3,50,34,36,32,5,77,10000,4658,1,0,0
03/06/2017,2631546,59,54,23,28,4,61,0,5984,0,0,0
04/06/2017,23088228,62,39,13,23,2,54,0,6121,1,0,0
05/06/2017,170243312,50,40,31,21,4,71,0,6321,4,0,4
06/06/2017,189679963,55,42,36,26,6,70,0,6096,4,0,4
07/06/2017,215124991.7,55,37,34,23,6,67,0,6260,2,0,5
08/06/2017,190026858.4,55,36,35,22,7,77,0,5336,2,0,4
09/06/2017,185921862.2,56,45,38,23,6,75,0,4657,1,0,0
10/06/2017,22975187.62,68,38,27,25,4,54,0,5979,2,0,3
11/06/2017,17535271.56,81,44,16,25,4,53,0,6116,1,0,0
12/06/2017,194925581,73,50,36,23,7,70,0,6129,3,0,0
13/06/2017,164675645.1,66,38,39,23,8,75,0,5978,0,0,2
14/06/2017,172428221.9,60,38,39,22,8,78,0,5959,1,0,4
15/06/2017,177300856.5,60,36,39,25,8,81,0,5371,3,0,2
16/06/2017,174830874.3,60,36,42,24,8,78,0,4700,0,0,0
17/06/2017,17033771.1,70,42,28,24,5,59,0,5967,1,0,0
18/06/2017,6228825.62,74,66,14,23,4,50,10000,6418,1,0,1
19/06/2017,175021179.7,60,39,39,25,8,72,0,6099,2,0,3
20/06/2017,35335705.27,60,37,35,24,7,73,0,6129,0,1,0
21/06/2017,273058226.6,54,93,32,22,7,63,0,6217,2,0,4
22/06/2017,157676492.5,59,42,32,22,7,68,0,5576,1,0,0
23/06/2017,165707494.7,59,39,39,23,7,65,0,4726,0,0,4
24/06/2017,18362340.9,69,78,27,22,5,54,0,6151,3,0,4
25/06/2017,7879545.65,72,45,15,24,4,53,0,6276,1,0,2
26/06/2017,184703871,61,37,35,25,7,69,0,6217,2,0,2
27/06/2017,151790026.8,59,38,36,25,8,68,0,5990,3,0,4
28/06/2017,172603810.2,59,60,39,22,7,62,0,6103,4,0,4
29/06/2017,177529508.4,53,100,37,22,7,67,0,5418,1,0,0
30/06/2017,207727016.4,68,42,59,26,8,75,0,4811,2,0,6
01/07/2017,17671017.85,71,43,35,24,5,58,0,5958,0,0,4
02/07/2017,3880715.16,73,67,15,28,5,53,0,6257,3,0,0
03/07/2017,136142258.4,64,38,43,31,9,78,0,6233,2,0,4
04/07/2017,141455705.3,67,40,38,27,9,73,0,6040,2,0,5
05/07/2017,138531979.5,62,41,39,29,10,66,0,6204,6,0,4
06/07/2017,12108886.03,61,40,38,27,10,73,0,5569,0,0,0
07/07/2017,261804557.9,61,40,41,26,9,82,0,4775,1,0,4
08/07/2017,31733893.56,68,46,28,27,7,62,0,6234,1,0,0
09/07/2017,15223259.76,76,50,16,30,6,54,0,6364,3,0,6
10/07/2017,171357485.3,65,45,38,39,11,72,10000,6391,1,0,6
11/07/2017,161317011.3,65,42,38,58,10,69,0,6175,1,0,0
12/07/2017,179748549.5,65,42,38,36,10,68,0,6378,0,0,10
13/07/2017,165920136.9,63,40,39,29,8,70,0,5584,7,0,4
14/07/2017,171740664.7,62,47,48,28,8,79,0,4721,0,0,3
15/07/2017,26478534.02,73,44,33,28,6,69,0,6436,0,0,6
16/07/2017,8700618.6,78,51,18,31,5,65,0,6438,2,0,3
17/07/2017,190446855.2,66,48,43,28,9,73,0,6489,2,1,2
18/07/2017,165955046.9,63,41,40,27,9,74,0,6326,2,0,4
19/07/2017,185637543.5,66,41,38,29,10,72,0,6401,1,0,2
20/07/2017,179669256.2,67,41,38,27,9,73,0,5731,0,0,3
21/07/2017,180600702.9,65,47,42,26,8,64,0,4922,3,1,7
22/07/2017,23299655.74,73,53,30,28,5,61,0,6404,1,0,0
23/07/2017,7755705.02,77,51,20,28,6,49,0,6394,3,0,4
24/07/2017,197649969.4,65,47,40,28,9,65,0,6727,2,0,0
25/07/2017,175574877.5,71,41,40,28,12,72,0,6525,2,0,3
26/07/2017,180018925.2,68,41,40,27,12,72,0,6493,1,0,7
27/07/2017,174944958.8,67,42,41,27,11,74,0,5527,3,0,0
28/07/2017,209058129.3,70,41,50,26,10,71,0,4983,0,0,7
29/07/2017,21651945.04,73,48,31,24,7,73,0,6325,1,0,4
30/07/2017,6441313.24,79,48,21,30,6,69,0,6591,0,0,1
31/07/2017,246990352.3,72,42,53,27,12,96,0,6304,3,0,4
01/08/2017,171790114.9,72,42,45,29,14,95,0,6587,3,0,3
02/08/2017,139299224.6,67,45,39,27,16,90,0,6735,2,0,3
03/08/2017,134139483.8,67,46,39,26,19,91,0,5801,2,0,0
04/08/2017,141618395.3,63,42,42,26,21,98,0,4952,0,0,5
05/08/2017,16643337.85,70,51,31,26,11,79,0,6458,2,0,3
06/08/2017,5515706.59,78,49,21,26,9,64,0,6729,3,2,1
07/08/2017,185824728.8,68,41,40,27,15,83,0,6708,1,0,0
08/08/2017,163268649.5,63,45,38,27,14,76,0,6757,2,1,4
09/08/2017,158867576.2,61,41,36,27,13,85,0,6764,2,0,3
10/08/2017,153394284.5,60,43,39,26,13,83,0,6131,2,0,3
11/08/2017,164448292.2,65,38,43,27,12,82,0,5091,1,0,3
12/08/2017,21427029.65,73,49,31,25,9,78,0,6513,1,0,0
13/08/2017,6354326.4,75,55,19,28,6,69,0,6658,1,0,0
14/08/2017,173231647.5,66,39,45,26,14,83,0,6688,0,0,4
15/08/2017,164749138.6,64,39,46,28,14,81,0,6777,2,0,0
16/08/2017,154045472.2,59,45,40,27,16,89,0,6907,1,1,3
17/08/2017,146049238.6,59,40,41,27,16,83,0,6075,1,0,0
18/08/2017,154306728.2,63,38,41,26,13,77,0,5211,4,0,0
19/08/2017,16376058.92,66,50,30,25,9,71,0,6455,2,0,2
20/08/2017,643021.49,78,50,21,26,8,68,0,6869,0,0,1
21/08/2017,176575861.3,56,55,36,23,11,83,0,6763,0,0,5
22/08/2017,149476353.6,59,38,39,24,12,93,0,6722,0,0,3
23/08/2017,154870656,54,41,35,23,13,88,0,6864,0,0,4
24/08/2017,132540502.7,55,40,37,23,13,81,0,6145,0,0,3
25/08/2017,154025411.2,55,39,43,25,12,80,0,5362,1,0,2
26/08/2017,20874154.25,70,53,29,25,9,62,0,6673,1,0,3
27/08/2017,4798037.4,71,83,18,25,8,62,0,6813,3,0,1
28/08/2017,173867392.7,58,40,37,26,11,90,0,6881,1,1,3
29/08/2017,157982850.1,53,40,37,25,13,88,0,6644,0,0,0
30/08/2017,172689110.9,56,42,39,22,13,84,0,6908,1,0,4
31/08/2017,177173886.3,55,40,42,22,14,79,0,6110,0,0,3
01/09/2017,129283024.4,60,40,40,24,13,73,0,5548,0,0,5
02/09/2017,10952402.36,74,54,31,26,11,61,0,6755,2,0,1
03/09/2017,3571544.79,80,44,18,26,9,60,0,6937,3,1,3
04/09/2017,136489178.9,60,38,40,26,14,79,0,7013,0,0,3
05/09/2017,119511562.8,55,41,35,24,14,81,0,6999,0,0,1
06/09/2017,120239609,58,45,33,22,13,81,0,7270,1,0,5
07/09/2017,122184264.1,54,39,32,23,13,70,0,6604,0,0,6
08/09/2017,146159007.2,38,39,25,14,7,68,0,5509,0,0,2
09/09/2017,2683299,53,43,21,16,6,65,0,6984,1,0,2
10/09/2017,12060220,54,38,13,17,5,57,0,7463,0,0,2
11/09/2017,221575779,45,29,26,17,8,71,0,7243,1,0,6
12/09/2017,256291503,100,29,24,19,8,80,0,7376,2,0,2
13/09/2017,216225412.9,99,27,24,17,9,77,0,7038,0,0,1
14/09/2017,212855859.2,64,25,28,16,8,75,0,6533,0,0,1
15/09/2017,209795773.1,60,26,33,17,8,72,10000,5457,1,1,3
16/09/2017,15939451.66,68,46,16,18,5,57,10000,5766,0,0,0
17/09/2017,14584750.91,62,56,13,17,5,53,0,7232,3,0,0
18/09/2017,172058204.2,50,30,30,19,10,68,0,7713,3,0,8
19/09/2017,148675348.3,44,54,22,15,9,65,0,7451,1,0,1
20/09/2017,151828624.7,40,58,21,16,7,74,0,7597,0,1,3
21/09/2017,168401028.5,40,66,22,15,6,71,0,6638,1,0,5
22/09/2017,179787340.4,45,40,24,16,6,70,0,5581,0,0,5
23/09/2017,25527749.27,53,39,17,16,5,58,0,7049,1,0,6
24/09/2017,8695385.33,56,34,11,18,4,72,0,7176,2,0,3
25/09/2017,189057031.3,47,31,25,18,11,100,0,7067,2,0,3
26/09/2017,151934153.5,45,30,24,17,10,92,0,7037,1,0,4
27/09/2017,153223651.3,46,34,26,18,9,79,0,7186,0,0,3
28/09/2017,170301515.7,45,32,28,17,8,80,0,6374,2,0,4
